objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
97,Land,State,CZE,CZE,Czechia,Czechia,1.88599E+11,3429195.88,78785.95499,0.581152924,NA,0.418847076,0.964301676,NA,0.035698324,0.002248662,NA,0.612353924,NA,0.385397414
98,EEZ,200NM,DEU,DEU,Not Applicable,Not Applicable,1.68428E+11,10191344.6,56824.24957,0.605175379,NA,0.394824621,0.8316868,NA,0.1683132,0.0019487,NA,0.769591179,NA,0.228460121
99,Land,State,DEU,DEU,Germany,Germany,9.07987E+11,13610853.63,357468.8324,0.460292583,0.019711405,0.519996012,0.982393555,0.001221015,0.01638543,0.001545991,2.90944399541344e-05,0.474284338,0.000493613,0.523646964
100,EEZ,200NM,DJI,DJI,Not Applicable,Not Applicable,7596323980,726917.7085,7237.411408,0.929136218,0.008542077,0.062321705,0.905461588,0.02978428,0.064754132,0.029223435,NA,0.965227761,NA,0.005548804
101,Land,State,DJI,DJI,Djibouti,Djibouti,22957587703,970803.3928,21902.53568,0.934022368,0.017434523,0.048543109,0.932306027,0.018887543,0.04880643,0.005235656,NA,0.991130266,0.000114763,0.003519315
102,EEZ,200NM,DMA,DMA,Not Applicable,Not Applicable,30959222047,1423653.692,28655.8236,0.919328415,0.059604808,0.021066777,0.892594272,0.086050757,0.021354971,0.028317569,0.000460925,0.96946547,0.000172611,0.001583425
103,Land,State,DMA,DMA,Dominica,Dominica,817421454.6,160375.3473,749.6914983,0.102281357,0.185948874,0.711769769,0.31242072,0.312412246,0.375167034,0.020896606,0.017607035,0.550066803,0.180393587,0.231035969
104,EEZ,200NM,DNK,DNK,Not Applicable,Not Applicable,3.3743E+11,14828475.37,104863.2469,0.673767914,NA,0.326232086,0.71302086,9.32066445039304e-06,0.286969819,0.009061602,NA,0.942623851,NA,0.048314547
105,Land,State,DNK,DNK,Denmark,Denmark,1.38595E+11,11191190.4,43524.61119,0.897346746,NA,0.102653254,0.871079843,NA,0.128920157,0.032093273,NA,0.962080358,NA,0.005826369
106,EEZ,200NM,FRO,DNK,Not Applicable,Not Applicable,1.24461E+12,6498587.97,263637.6396,0.998902194,0.0002506,0.000847205,0.99731752,0.000202724,0.002479756,0.001835849,7.64467419672533e-05,0.99783653,NA,0.000251175
107,Land,Territory,FRO,DNK,Faroe Islands,Faroe Islands (Denmark),6430590213,2006930.755,1412.658915,0.585083004,0.287535409,0.127381586,0.808989487,NA,0.191010513,0.049091901,0.023138434,0.654771281,NA,0.272998384
108,EEZ,200NM,GRL,DNK,Not Applicable,Not Applicable,5.64968E+13,292166123.6,2274771.193,0.949600573,1.15444462410247e-05,0.050387882,0.947378193,0.000103889,0.052517918,0.002305629,NA,0.997611122,NA,8.32489080391407e-05
109,Land,Self Governing Territory,GRL,DNK,Greenland,Greenland (Denmark),3.55859E+13,251876554,2162413.768,0.579310462,NA,0.420689538,0.578158406,NA,0.421841594,0.002044281,NA,0.997063494,NA,0.000892225
110,EEZ,Joint regime,FRO; ISL,DNK; ISL,Not Applicable,Not Applicable,6146036795,671509.2498,1274.951917,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA
111,EEZ,200NM,DOM,DOM,Not Applicable,Not Applicable,3.88883E+11,4817797.297,343962.1915,0.8865246,0.004903541,0.108571858,0.910629891,0.013723625,0.075646484,0.007714831,4.70192003495254e-05,0.957692552,0.002725476,0.031820122
112,Land,State,DOM,DOM,Dominican Republic,Dominican Republic,54014080765,2108009.574,48100.59857,0.528110688,0.023360236,0.448529076,0.679022375,0.114032894,0.206944731,0.074574271,0.000404075,0.646845657,0.05269004,0.225485958
113,EEZ,Joint regime,DOM; COL,DOM; COL,Not Applicable,Not Applicable,14136131869,522943.7227,13109.83076,0.992110324,0.000188889,0.007700787,0.999811111,0.000188889,NA,6.29638553740246e-05,NA,0.992173285,NA,0.007763751
114,EEZ,200NM,DZA,DZA,Not Applicable,Not Applicable,2.07215E+11,3434750.837,131096.8053,0.958410078,0.015676074,0.025913847,0.9677133,0.030932393,0.001354307,0.015128057,5.3445604835903e-06,0.958356442,0.002078877,0.024431279
115,Land,State,DZA,DZA,Algeria,Algeria,3.00198E+12,9208540.231,2308329.523,0.894827552,0.028559805,0.076612643,0.908925539,0.039299205,0.051775256,0.013934729,0.012100286,0.917411408,0.028520862,0.028032716
116,EEZ,200NM,ECU,ECU,Not Applicable,Not Applicable,1.06043E+12,9861563.992,1051299.206,0.804295209,0.000150372,0.195554419,0.865584203,0.000442173,0.133973624,0.000446173,NA,0.937696742,0.000121919,0.061735167
